utc_timestamp,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z1_1,Z1_2,Z1_3,Z1_4,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,EAST_ANGLIA,HORNSEA
2014-03-28 14:00:00,-0.6276107059321271,-5.229369609793689,-2.8050545247680945,-3.87068012964819,-6.921823818144386,-1.0930640446983646,-2.5951607892626356,-1.287858000673445,-0.027632209005290682,-0.021858513494913034,-0.106795029634063,-0.16434154361814363,-0.3906394315013404,-0.2483386343072604,-0.021025958342885467,-1.384767254539697,-0.2019036358230607,-1.858235188682191,-3.4149122141854016,-5.005837715743679,0,0
2014-03-28 15:00:00,-0.6257646528714623,-5.2139879509369145,-2.7968037421701637,-3.859294917712427,-6.901463977363962,-1.0898489079804192,-2.5875273877405567,-1.2840698973454214,-0.027550931672821688,-0.021794218900576985,-0.10648090291592975,-0.16385814968186577,-0.3894904053433682,-0.24760817147160283,-0.0209641126248545,-1.380694102497533,-0.20130975681279598,-1.8527693788655677,-3.404867597219323,-4.991113553219054,0,0
2014-03-28 16:00:00,-0.647649059667547,-5.396332915333019,-2.894614301685797,-3.9942631993782647,-7.1428237992652175,-1.127963391978625,-2.6780190792886187,-1.3289767291058374,-0.028514450135509628,-0.022556412083005132,-0.1102047811898681,-0.16958864019141565,-0.40311176672035387,-0.25626758987379933,-0.021697275111255743,-1.4289801014930974,-0.20835001482336957,-1.9175649191703217,-3.523943526552233,-5.16566409528448,0,0
2014-03-28 17:00:00,-0.6666618283692645,-5.55475085484081,-2.9795903104935393,-4.11152115136625,-7.352512757730261,-1.1610765521933604,-2.7566365906912256,-1.367990955689328,-0.029351537192134694,-0.023218591452021656,-0.11344001790226586,-0.1745671845778667,-0.4149457540738274,-0.2637907327538619,-0.022334233147386598,-1.4709300862008514,-0.2144664610401981,-1.9738580886492176,-3.6273944961601323,-5.317310384533824,0,0
2014-03-28 18:00:00,-0.6879308841451276,-5.73196859961799,-3.074650609143196,-4.242694362386834,-7.5870859660380425,-1.1981193239522512,-2.8445838150652616,-1.4116350863404028,-0.030287963210666305,-0.023959353103004455,-0.11705918727015979,-0.18013654377532395,-0.42818410673148904,-0.27220666354417256,-0.023046780394444185,-1.5178583678490278,-0.22130875938068345,-2.0368316923484304,-3.743122219837683,-5.486952872424376,0,0
2014-03-28 19:00:00,-0.6892089208794339,-5.742617440364986,-3.080362689403301,-4.250576432188516,-7.601181240424489,-1.2003451878339055,-2.8498684776574694,-1.4142576194136498,-0.030344232133144834,-0.024003864745237097,-0.1172766596134828,-0.180471201115824,-0.4289795863793159,-0.27271236858424314,-0.02308959666077331,-1.5206782423397565,-0.22171990638778974,-2.0406157145291695,-3.7500761854295828,-5.497146523402963,0,0
2014-03-28 20:00:00,-0.6485641970822356,-5.403958011176548,-2.8987044332300704,-3.9999071505942845,-7.152916711788847,-1.1295572204370936,-2.6818031586756326,-1.3308545922940884,-0.028554741462716478,-0.0225882846169495,-0.11036050212706235,-0.1698282713735021,-0.4036813694311435,-0.2566296996555783,-0.02172793367233092,-1.4309992708815205,-0.2086444163840136,-1.9202744659170239,-3.528922909321742,-5.172963252775321,0,0
2014-03-28 21:00:00,-0.5953915576425777,-4.960913649233597,-2.6610536866059284,-3.671974123042825,-6.566483691019393,-1.036950291039867,-2.461935097740542,-1.2217442656664013,-0.026213676416387454,-0.0207363804894925,-0.10131257870732752,-0.15590487337985892,-0.3705854877869894,-0.23558987267980164,-0.019946565554686956,-1.3136785667610795,-0.19153867053280021,-1.7628404566689913,-3.239603600127866,-4.748857033048941,0,0
2014-03-28 22:00:00,-0.5355920610620724,-4.462653076009924,-2.3937847460404997,-3.303171103927089,-5.906964062320215,-0.9328018452192469,-2.2146650826236307,-1.0990356193996553,-0.023580846586836415,-0.01865367525416253,-0.09113702091480676,-0.14024621510214155,-0.33336489685780724,-0.21192787142217748,-0.017943187167188256,-1.1817362912072307,-0.17230105131140597,-1.585785591668979,-2.9142266915685813,-4.271894845285447,0,0
2014-03-28 23:00:00,-0.485338394410645,-4.043930140464435,-2.1691801086524016,-2.993240334564656,-5.352723952186472,-0.8452786790085148,-2.0068669300781523,-0.9959150288034585,-0.021368296980736137,-0.016903433519459107,-0.08258579358784668,-0.12708715794791203,-0.3020858514463441,-0.19204304978483366,-0.016259609287456494,-1.0708560411705528,-0.1561343449208675,-1.4369941022164616,-2.6407898963808973,-3.8710704210039864,0,0
